Unnamed: 0,word,meaning
616,char,To burn and become black or to burn something so that it becomes black.
617,compatriot,A person who comes from the same country.
618,compunction,A slight guilty feeling about something you have done or might do.
619,crouch,to move your body close to the ground by bending your knees and leaning forwards slightly
620,envoy,Someone who is sent as a representative from one government or organization to another.
621,hoist,"To lift something heavy, sometimes using ropes or a machine."
622,incendiary,Designed to cause fires.
623,proactive,Taking action by causing change and not only reacting to change when it happens.
624,instigate,To cause an event or situation to happen by making a set of actions or a formal process begin.
625,iridescent,Showing many bright colours that change with movement.
626,mediate,to try to end a disagreement between two people or groups
627,ominous,Suggesting that something unpleasant is likely to happen.
628,pasture,"land covered with grass where sheep, cows etc are kept"
629,pitch,a flat area of ground for playing particular sports on. The American word is field
630,procession,a line of people or vehicles moving in a slow and formal way as part of an event
631,prolific,Producing a great number or amount of something.
632,shrub,"a low thick bush, especially one that has been planted in a garden"
633,sprout,"To produce leaves, hair, or other new developing parts, or (of leaves, hair, and other developing parts) to begin to grow."
634,voluminous,voluminous clothing has a lot of material in it and is loose on your body
635,flout,"To intentionally not obey a rule, law, or custom."
636,hue,"(a degree of lightness, darkness, strength, etc. of) a colour."
637,abolish,To end an activity or custom officially.
638,archetypal,very typical of a particular type of person or thing
639,artefact,"An object that is made by a person, such as a tool or a decoration, especially one that is of historical interest."
640,bellwether,Someone or something that shows how a situation will develop or change.
641,bilateral,Involving two groups or countries.
642,brazen,"Obvious, without any attempt to be hidden."
643,chequered,Having had both successful and unsuccessful periods in your past.
644,conundrum,A problem that is difficult to deal with.
645,decisive,"Able to make decisions quickly and confidently, or showing this quality."
646,defray,(especially of an organization) to pay the cost of something.
647,delve,"To search, especially as if by digging, in order to find a thing or information."
648,dense,Having parts that are close together so that it is difficult to go or see through.
649,emphatic,Done or said in a strong way and without any doubt.
650,enclave,an area of a country or city where a particular group of people live
651,eradicate,To get rid of something completely or destroy something bad.
652,fetter,To keep someone within limits or stop them making progress.
653,funnel,"a tube that is wide at the top and narrow at the bottom, used for pouring liquid or powder into a container"
654,lancet,a small knife with two sharp edges used by doctors
655,laudable,deserving to be praised or admired
656,laze,"To relax and enjoy yourself, doing very little."
657,seam,a line of stitches that joins two pieces of cloth
658,serendipitous,pleasant and happening by chance
659,showpiece,"An extremely good example of something, which deserves to be admired."
660,smear,To spread a liquid or a thick substance over a surface.
661,tit-for-tat,Actions done intentionally to punish other people because they have done something unpleasant to you.
662,tout,to praise someone or something because you want other people to think they are good or important
663,wharf,An area like a wide wall built near the edge of the sea or a river where ships can be tied and goods can be taken off them.
664,scrutiny,The careful and detailed examination of something in order to get information about it.
665,abhor,"To hate a way of behaving or thinking, often because you think it is not moral."
666,abiding,"an abiding feeling, interest, or belief is one that you have had for a long time and that is not likely to change"
667,abject,"The state of being extremely unhappy, poor, unsuccessful, etc.."
668,accumulate,To collect a large number of things over a long period of time.
669,beleaguered,Having a lot of problems or difficulties.
670,blue-collar,Describes people who do work needing strength or physical skill rather than office work.
671,confine,"To limit an activity, person, or problem in some way."
672,defiance,Behaviour in which you refuse to obey someone or something.
673,dubious,Thought not to be completely true or not able to be trusted.
674,electorate,All the people who are allowed to vote.
675,enervated,feeling tired and weak
676,enlist,To join the armed forces.
677,entice,To persuade someone to do something by offering them something pleasant.
678,enumerate,"To name things separately, one by one."
679,equitable,fair and reasonable because everyone is treated in the same way
680,ethos,"The set of beliefs, ideas, etc. about the social behaviour and relationships of a person or group."
681,expedite,To make something happen more quickly.
682,flyer,an announcement or advertisement that is printed on a sheet of paper and given to people
683,hike,"A long walk, especially in the countryside."
684,icing,"A sweet food used to cover or fill cakes, made from sugar and water or sugar and butter."
685,imminent,Coming or likely to happen very soon.
686,impede,To make it more difficult for something to happen or more difficult for someone to do something.
687,influx,The fact of a large number of people or things arriving at the same time.
688,insignia,"a mark or sign that shows someone's rank or status, or what organization they belong to"
689,lofty,a lofty building or structure is very tall
690,meagre,(of amounts or numbers) very small or not enough.
691,meddle,"To try to change or have an influence on things that are not your responsibility, especially by criticizing in a damaging or annoying way."
692,meritocracy,a system or society in which people have influence or status according to their abilities and achievements rather than because of the social class to which they belong
693,noose,One end of a rope tied to form a circle that can be tightened round something such as a person's neck to hang (= kill) them.
694,nullify,to make something lose its legal effect
695,in the offing,Likely to happen soon; We have several projects in the offing.
696,pre-emptive,"Describes something that is done before other people can act, especially to prevent them from doing something else."
697,railing,"A vertical post, usually metal or wooden, that is used together with other such posts to form a fence."
698,splurge,"To spend a lot of money on buying goods, especially expensive goods."
699,stalemate,A situation in which neither group involved in an argument can win or get an advantage and no action can be taken.
700,tang,"A strong, sharp taste or smell."
701,tightrope,"A tightly stretched wire or rope fixed high above the ground, which skilled people walk across, especially in order to entertain others."
702,well-off,"rich, or having enough money to live well"
703,prospect,The possibility that something good might happen in the future.
704,volley,A large number of bullets (seeming to be) fired at the same time.
705,remonstrate,"to argue with, complain to, or criticize someone about something"
706,strait,A narrow area of sea that connects two larger areas of sea.
707,make ends meet,"to have enough money to pay for your basic expenses. To make ends meet, she runs a day-care center out of her home."
708,lion's share,"the largest portion of something. I earn a lot, but the lion's share goes for taxes."
709,pretext,A pretended reason for doing something that is used to hide the real reason.
710,drily,Being funny in a way that is not obvious.
711,amphibious,Of or relating to a type of animal that lives both on land and in water.
712,clandestine,"Planned or done in secret, especially describing something that is not officially allowed."
713,concession,something you give or allow to someone in order to reach an agreement
714,concoct,"to invent a false explanation or false information, especially for a dishonest purpose"
715,disburse,"To pay out money, usually from an amount that has been collected for a particular purpose."
716,discredit,to harm someone's reputation
717,flashpoint,A place or stage at which violence might be expected to begin.
718,gunpoint,while threatening to shoot someone or while being threatened with a gun
719,intercept,To stop and catch something or someone before they are able to reach a particular place.
720,sander,a machine used for making the surface of wood or metal smooth
721,stand-off,a disagreement or fight in which neither opponent can do anything to win or achieve their aim
722,strenuous,Needing or using a lot of physical or mental effort or energy.
723,tantamount,"Being almost the same or having the same effect as something, usually something bad."
724,lush,"A lush area has a lot of green, healthy plants, grass, and trees."
725,beech,"A tree with a smooth, grey trunk and small nuts, or the wood from this tree."
726,blockbuster,A book or film that is very successful.
727,bridle,leather bands that go over a horse's head and hold the bit in its mouth
728,bustle,To do things in a hurried and busy way.
729,canoe,"A small light narrow boat, pointed at both ends and moved using a paddle (= a short pole with a flat blade."
730,canopy,"A cover fixed over a seat or bed, etc. for shelter or decoration."
731,cascade,"A small waterfall, often one of a group."
732,complicit,Involved in or knowing about a crime or some activity that is wrong.
733,corrugated,(especially of sheets of iron or cardboard) having parallel rows of folds that look like a series of waves when seen from the edge.
734,debauchery,"Bad sexual behaviour, drinking too much alcohol, taking drugs, etc.."
735,detain,To force someone officially to stay in a place.
736,duke,"A man of very high rank in a country, or the ruler of a small independent country."
737,expansive,Very happy to talk to people in a friendly way.
738,flick,To move or hit something with a short sudden movement.
739,glisten,To shine by reflecting light from a wet or smooth surface.
740,haunt,To cause repeated suffering or anxiety.
741,heist,an organized attempt by thieves to steal something
742,huddle,"To come close together in a group, or to hold your arms and legs close to your body, especially because of cold or fear."
743,illicit,Illegal or disapproved of by society.
744,illustrious,"Famous, well respected, and admired."
745,lichen,"A grey, green, or yellow plant-like organism that grows on rocks, walls, and trees."
746,loom,"To appear as a large, often frightening or unclear shape or object."
747,marooned,Left in a place from which you cannot escape.
748,marquee,A large tent used for eating and drinking in at events held mainly outside that involve a lot of people.
749,picturesque,"(especially of a place) attractive in appearance, especially in an old-fashioned way."
750,quintessential,Being the most typical example or most important part of something.
751,ripple,A small wave on the surface of water.
752,scrawl,"To write something quickly, without trying to make your writing tidy or easy to read."
753,screech,"To make an unpleasant, loud, high noise."
754,scuttle,"To move quickly, with small, short steps, especially in order to escape."
755,slumber,sleep
756,spire,"A tall, pointed structure on top of a building, especially on top of a church tower."
757,sprawl,To spread the arms and legs out carelessly and untidily while sitting or lying down.
758,storey,A level of a building.
759,swanky,fashionable and expensive
760,toil,"Hard work, especially work that makes you feel physically tired."
761,trek,"To walk a long distance, usually over land such as hills, mountains, or forests."
762,unfurl,"If a flag, sail, or banner unfurls, it becomes open from a rolled position, and if you unfurl a flag, etc., you make it do this."
763,vibe,"The mood or character of a place, situation, or piece of music."
764,vine,The climbing plant that produces grapes as its fruit.
765,woeful,Very bad or (of something very bad or unpleasant) very great or extreme.
766,bewitch,To attract or interest someone a lot so that you have the power to influence them.
767,cuisine,A style of cooking.
768,afoot,"being planned, or starting to happen"
769,serene,Peaceful and calm; worried by nothing.
770,cottage,"A small house, usually in the countryside."
771,mansion,"A very large, expensive house."
772,aloof,Not friendly or willing to take part in things.
773,eerie,Strange in a frightening and mysterious way.
774,deputy,"someone whose job is the second most important in a department or organization, and who takes the responsibilities of the most important person in some situations"
775,preoccupy,"To be the main thought in someone's mind, causing other things to be forgotten."
776,nondescript,"Very ordinary, or having no interesting or exciting features or qualities."
777,hotbed,"A place or situation where a lot of a particular activity, especially an unwanted or unpleasant activity, is happening or might happen."
778,sojourn,A short period when a person stays in a particular place.
779,fit like a glove,to fit very well; to fit snugly. My new shoes fit like a glove.
780,aesthetic,Relating to the enjoyment or study of beauty.
781,chic,Stylish and fashionable.
782,abide,"If you can't abide someone or something, you dislike them very much."
783,bail,"Security, usually a sum of money, exchanged for the release of an arrested person as a guarantee of that person's appearance for trial."
784,clergy,"Priests, especially in the Christian Church."
785,curb,To control or limit something that is not wanted.
786,disown,To make it known that you no longer have any connection with someone that you were closely connected with.
787,grumble,To complain about someone or something in an annoyed way.
788,laureate,A person who has been given a very high honour because of their ability in a subject of study.
789,melee,"A large noisy uncontrolled crowd, in which people are moving in different directions and sometimes fighting with each other."
790,memorandum,A short written report prepared specially for a person or group of people that contains information about a particular matter.
791,moor,"To make fast (a vessel, for example) by means of cables, anchors, or lines"
792,overture,"A piece of music that is an introduction to a longer piece, especially a work for the theatre."
793,patriot,"A person who loves their country and, if necessary, will fight for it."
794,protracted,Lasting for a long time or made to last longer.
795,remorse,A feeling of sadness and being sorry for something you have done.
796,resent,To feel angry because you have been forced to accept someone or something that you do not like.
797,secede,to officially leave an organization. This word is used especially about a state or region that chooses to become independent and govern itself.
798,spearhead,To lead something such as an attack or a course of action.
799,spellbinding,Holding your attention completely.
800,spigot,A device used to control the flow of liquid from something such as a barrel.
801,topple,To (cause to) lose balance and fall down.
802,untenable,"impossible to continue because of serious problems, opposition, or criticism"
803,endorse,To make a public statement of your approval or support for something or someone.
804,swathe,A long strip or large area especially of land.
805,tar,"A black substance, sticky when hot, used especially for making roads."
806,bristle at something,to show sudden anger or other negative response to something. (Alludes to a dog or cat raising the hair on its back in anger or as a threat.)
807,crop up,to appear without warning; to happen suddenly; [for something] to begin to reveal itself in the open. Some new problems cropped up at the last minute.
808,paramount,More important than anything else.
809,automaton,"A machine that operates on its own without the need for human control, or a person who acts like a machine, without thinking or feeling."
810,accustomed,Familiar with something; usual.
811,attuned,familiar with something and able to deal with it in a sensitive way
812,bailout,money that someone gives or lends to a person or organization with financial problems
813,beholden,Feeling you have a duty to someone because they have done something for you.
814,birch,"A tree with a smooth, often white bark (= outer covering) and thin branches."
815,brunt,The main force of something unpleasant.
816,commemorate,"To remember officially and give respect to a great person or event, especially by a public ceremony or by making a statue or special building."
817,conclusive,"Proving that something is true, or ending any doubt."
818,cultivate,"To prepare land and grow crops on it, or to grow a particular crop."
819,custard,"A sweet sauce made from eggs, milk, and sugar and poured over sweet dishes."
820,distraught,"Extremely worried, nervous, or upset."
821,glare,A long angry look.
822,incumbent,Officially having the named position.
823,nautical,"Relating to ships, sailing, or sailors."
824,prolonged,Continuing for a long time.
825,rote,the process of learning something by repeating it many times rather than by understanding it
826,saturate,To make something or someone completely wet.
827,slick,"Operating or performing skilfully and effectively, without problems and without seeming to need effort."
828,spade,"A tool used for digging especially soil or sand, with a long handle and a flat blade."
829,spur,To encourage an activity or development or make it happen faster.
830,stellar,Of a star or stars.
831,teeter,To appear to be about to fall while moving or standing.
832,uproot,To pull a plant including its roots out of the ground.
833,rigorous,Careful to look at or consider every part of something to make certain it is correct or safe.
834,subvert,"To try to destroy or damage something, especially an established political system."
835,coil,a long thin piece of something that forms rings or curls
836,constrict,"To become tighter and narrower, or to make something become tighter and narrower."
837,suffocate,To (cause someone to) die because they do not have enough oxygen.
838,affluent,Having a lot of money or owning a lot of things.
839,sedentary,Involving little exercise or physical activity.
840,societal,Relating to or involving society.
841,succinct,Said in a clear and short way; expressing what needs to be said without unnecessary words.
842,denote,To represent something.
843,plethora,"A very large amount of something, especially a larger amount than you need, want, or can deal with."
844,consecutive,"Describes events, numbers, etc. that follow one after another without an interruption."
845,maritime,Connected with human activity at sea.
846,whip,"A piece of leather or rope that is fastened to a stick, used for hitting animals or people."
847,gatecrash,To go to a party or other event when you have not been invited.
848,oak,"A large tree that is common in northern countries, or the hard wood of this tree."
849,aggravate,To make a bad situation worse.
850,akin,Having some of the same qualities.
851,bankrupt,a person or business that is bankrupt has officially admitted that they have no money and cannot pay what they owe
852,claimant,A person who asks for something that they believe belongs to them or that they have a right to.
853,culprit,Someone who has done something wrong.
854,dale,A valley.
855,dispatch,"To send something, especially goods or a message, somewhere for a particular purpose."
856,devise,"To invent a plan, system, object, etc., usually cleverly or using imagination."
857,dismantle,To take a machine apart or to come apart into separate pieces.
858,divert,To cause something or someone to change direction.
859,exemplary,Very good and suitable to be copied by other people.
860,fraudster,Someone who gets money by deceiving people.
861,gimmick,something that is intended to impress and interest you but is really not at all useful
862,levy,"An amount of money, such as a tax, that you have to pay to a government or organization."
863,loophole,something that has been left out of a law or legal document that people can use to avoid obeying it
864,maize,a tall plant that produces yellow seeds that are called sweetcorn when cooked and eaten. The American word is corn.
865,manure,"Solid waste from animals, especially horses, that is spread on the land in order to make plants grow well."
866,merit,The quality of being good and deserving praise.
867,mire,an area of soft wet ground
868,oblige,"To force someone to do something, or to make it necessary for someone to do something."
869,overhaul,To repair or improve something so that every part of it works as it should.
870,prosecute,to officially accuse someone of a crime and ask a court of law to judge them
871,reprisal,"(an example of) activity against another person, especially as a punishment by military forces or a political group."
872,scour,To remove dirt from something by rubbing it hard with something rough; to search a place or document thoroughly for something
873,staple,A principal raw material or commodity grown or produced in a region; Produced or stocked in large quantities to meet steady demand
874,wear thin,"if your patience wears thin, you become less and less patient (often in continuous tenses); if a joke, an excuse, or an explanation wears thin, it becomes less effective because it has been used too much (often in continuous tenses)"
875,supreme,"Having the highest rank, level, or importance."
876,irrigate,To supply land with water so that crops and plants will grow.
877,constituency,One of the official areas of a country that elects someone to represent it in a parliament .
878,decry,"To criticize something as bad, without value or unnecessary."
879,devolve,To (cause power or responsibility to) be given to other people.
880,equate,To consider one thing to be the same as or equal to another thing.
881,placard,"A large piece of card, paper, etc. with a message written or printed on it, often carried in public places by people who are complaining about something."
882,rollout,"the introduction of a new product, especially when it gradually becomes available in a large number of places"
883,sturgeon,"a large fish that lives in northern seas, rivers, and lakes, and whose eggs are eaten as caviar"
884,stool,A seat without any support for the back or arms.
885,abreast,Describes two or more people who are next to each other and moving in the same direction.
886,bespoke,Specially made for a particular person.
887,bulletin,a short news broadcast
888,cavalry,"The group of soldiers in an army who fight in tanks, or (especially in the past) on horses."
889,congenital,Describes a disease or condition that exists at or from birth.
890,dreary,Boring and making you feel unhappy.
891,facet,"One part of a subject, situation, etc. that has many parts."
892,intrusive,interrupting a peaceful situation
893,lurch,to move suddenly in a way that is not smooth or controlled
894,negligible,very unimportant or small
895,obstruct,"To block a road, passage, entrance, etc. so that nothing can go along it, or to prevent something from happening correctly by putting difficulties in its way."
896,purport,"To pretend to be or to do something, especially in a way that is not easy to believe."
897,quantify,To measure or judge the size or amount of something.
898,recourse,"Using something or someone as a way of getting help, especially in a difficult or dangerous situation."
899,shortfall,An amount that is less than the level that was expected or needed.
900,standpoint,A set of beliefs and ideas from which opinions and decisions are formed.
901,strap,A narrow piece of leather or other strong material used for fastening something or giving support.
902,spot-on,absolutely correct; very accurate: your prediction was spot-on.
903,adorn,To add something decorative to a person or thing.
904,advocate,"To publicly support or suggest an idea, development, or way of doing something."
905,airy,With a lot of light and space.
906,allure,"The quality of being attractive, interesting, or exciting."
907,artful,"Clever and skilful, especially in getting what you want."
908,backstroke,a style of swimming on your back
909,bask,To lie or sit enjoying the warmth especially of the sun.
910,beckon,To move your hand or head in a way that tells someone to come nearer.
911,bellow,"To shout in a loud voice, or (of a cow or large animal) to make a loud, deep sound."
912,billow,"To spread over a large area, or (especially of things made of cloth) to become filled with air and appear to be larger."
913,bob,"To move up and down quickly and gently, especially on the surface of water."
914,briny,Describes water that contains a lot of salt.
915,bruise,"An injury or mark where the skin has not been broken but is darker in colour, often as a result of being hit by something."
916,buttock,one of the two round parts of your body that you sit on
917,cantilever,"A long bar that is fixed at only one end to a vertical support and is used to hold a structure such as an arch, bridge, or shelf in position."
918,chandelier,a large light that hangs from a ceiling and has branches for holding electric lights or candles
919,chesty,Having or relating to a lot of mucus (= thick liquid) in the lungs
920,choppy,"(of sea, lakes, or rivers) with a lot of small, rough waves caused by the wind."
921,clad,"(of people) dressed, or (of things) covered."
922,clued-up,Having a special and detailed knowledge of something.
923,comprise,"To have as parts or members, or to be those parts or members."
924,cove,A curved part of a coast that partly surrounds an area of water.
925,crease,A line on cloth or paper where it has been folded or crushed.
926,demure,a demure woman is quiet and shy and always behaves well
927,dingy,Dark and often also dirty.
928,eclectic,"Methods, beliefs, ideas, etc. that are eclectic combine whatever seem the best or most useful things from many different areas or systems, rather than following a single system."
929,exhilarate,To give someone strong feelings of happiness and excitement.
930,exquisite,Very beautiful and delicate.
931,flank,to be at the side of something or someone
932,flaunt,To show or make obvious something you are proud of in order to get admiration.
933,forage,"To go from place to place searching, especially for food."
934,gauge,"To calculate an amount, especially by using a measuring device."
935,glint,To produce small bright flashes of light reflected from a surface.
936,grille,A frame of metal bars used to cover something such as a window or a machine.
937,heady,"Having a powerful effect, making you feel slightly drunk or excited."
938,hoarse,"(of a voice or a person) having a rough voice, often because of a sore throat or a cold."
939,hoover,to clean a carpet or floor with a vacuum cleaner
940,impeccable,"Perfect, with no problems or bad parts."
941,impromptu,Done or said without earlier planning or preparation.
942,inflatable,A boat or something similar that must be filled with air in order to float on the water.
943,inlet,A narrow strip of water that goes from a sea or lake into the land or between islands.
944,invigorate,"To make someone feel fresher, healthier, and more energetic."
945,jolt,To (cause something or someone to) move suddenly and violently.
946,jovial,"(of a person) friendly and in a good mood, or (of a situation) enjoyable because of being friendly and pleasant."
947,lump,"A piece of a solid substance, usually with no particular shape."
948,mow,"To cut plants, such as grass or wheat, which have long, thin stems and grow close together."
949,nook,a small corner or sheltered space
950,offbeat,Unusual and strange and therefore surprising or noticeable.
951,onslaught,large numbers of people or things that come at the same time and are difficult to deal with
952,opulent,Expensive and luxurious.
953,pamper,"to look after someone very well, especially by making them feel very comfortable or by giving them nice things"
954,penthouse,An expensive apartment or set of rooms at the top of a hotel or tall building.
955,rakish,"Describes a man, especially a rich man, who lives in an immoral way, especially having sex with a lot of women."
956,raucous,Loud and unpleasant.
957,savour,"To enjoy food or an experience slowly, in order to enjoy it as much as possible."
958,scallop,"A sea creature that lives inside two joined flat, round shells and can be eaten."
959,sculpt,"To create solid objects that represent a thing, person, idea, etc. out of a material such as wood, clay, metal, or stone."
960,shoal,A large number of fish swimming as a group.
961,sluggish,Moving or operating more slowly than usual and with less energy or power.
962,stain,To leave a mark on something that is difficult to remove.
963,stately,"Formal, slow, and having a style and appearance that causes admiration."
964,swagger,To walk or act in a way that shows that you are very confident and think that you are important.
965,tally,To match or agree with something else.
966,turf,short grass and the earth that is under it
967,vent,"A small opening that allows air, smoke, or gas to enter or leave a closed space."
968,waft,To (cause to) move gently through the air.
969,scandal,(an action or event that causes) a public feeling of shock and strong moral disapproval.
970,fallout,An incidental result or side effect.
971,mischievous,"Behaving in a way, or describing behaviour, that is slightly bad but is not intended to cause serious harm or damage."
972,hospitality,The act of being friendly and welcoming to guests and visitors.
973,camaraderie,A feeling of friendliness towards people that you work or share an experience with.
974,psychedelic,psychedelic drugs are drugs that make you see things that are not really there
975,brass,A bright yellow metal made from copper and zinc.
976,abstain,"To not do something, especially something enjoyable that you think might be bad."
977,arable,"Describes farming land that is used for, or is suitable for, growing crops."
978,assurance,A promise.
979,blight,A disease that damages and kills plants.
980,candid,"Honest and telling the truth, especially about something difficult or painful."
981,collate,To bring together different pieces of written information so that the similarities and differences can be seen.
982,commission,"To formally choose someone to do a special piece of work, or to formally ask for a special piece of work from someone."
983,conviction,a decision by a court of law that someone is guilty of a crime
984,coy,Intentionally keeping something secret.
985,cranny,"A small, narrow opening in something solid."
986,curtail,"to reduce or limit something, especially something good"
987,dampen,to make something such as a feeling or hope less strong
988,dent,"A small hollow mark in the surface of something, caused by pressure or by being hit."
989,destined,Intended (for a particular purpose).
990,deteriorate,To become worse.
991,diminutive,Very small.
992,dismissive,Showing that you do not think something is worth considering.
993,downplay,To make something seem less important or less bad than it really is.
994,fling,To throw something or someone suddenly and with a lot of force.
995,groan,"A deep, long sound showing great pain or unhappiness."
996,hindsight,The ability to understand an event or situation only after it has happened.
997,impervious,not affected by something or not seeming to notice it; Not allowing liquid to go through.
998,pulverize,To press or crush something until it becomes powder or a soft mass.
999,ratify,to make an agreement official by signing it or formally accepting it
1000,scatter,To (cause to) move far apart in different directions.
1001,shunt,"to move someone or something to a different place or position, especially to avoid dealing with them"
1002,slender,"Thin and delicate, often in a way that is attractive."
1003,tenuous,"A ____connection, idea, or situation is weak and possibly does not exist."
1004,scramble,"To move or climb quickly but with difficulty, often using your hands to help you."
1005,draw a blank,to get no response; to find nothing; to fail to remember something
1006,allegation,A statement saying that someone has done something wrong or illegal that has not been proved to be true.
1007,customary,Usual.
1008,divisive,Describes something that causes great and sometimes unfriendly disagreement within a group of people.
1009,entrant,A person who becomes a member of a group or organization.
1010,innocuous,Completely harmless (= causing no harm).
1011,restive,Unwilling to be controlled or be patient.
1012,resolution,An official decision that is made after a group or organization have voted.
1013,forensic,"Related to scientific methods of solving crimes, involving examining the objects or substances that are involved in the crime."
1014,injunction,"An official order given by a law court, usually to stop someone from doing something."
1015,rebut,To argue that a statement or claim is not true.
1016,allay,"If you ____ a strong emotion felt by someone, such as fear or worry, you cause them to feel it less or to feel calm again."
1017,dire,Very serious or extreme.
1018,disgruntled,"Unhappy, annoyed, and disappointed about something."
1019,inept,Not skilled or effective.
1020,afterglow,"A pleasant feeling produced after an experience, event, feeling, etc.."
1021,mutinous,refusing to accept someone else's authority and obey them
1022,accrue,To increase in number or amount over a period of time.
1023,backer,Someone who gives financial support to something.
1024,bric-a-brac,Small decorative objects of various types and of no great value.
1025,buffet,A meal where people serve themselves different types of usually cold food.
1026,bundle,A number of things that have been fastened or are held together.
1027,caricature,"a drawing of someone that strongly emphasizes their main features, especially in order to make them seem funny"
1028,certify,"To say in a formal or official way, usually in writing, that something is true or correct."
1029,confiscate,to officially remove someone's possessions for legal reasons or as a punishment
1030,conscript,To force someone by law to serve in one of the armed forces.
1031,convoluted,"very complicated, or more complicated than necessary"
1032,cull,"When people cull animals, they kill them, especially the weaker members of a particular group of them, in order to reduce or limit their number."
1033,defy,"To refuse to obey a person, decision, law, situation, etc.."
1034,dismay,A feeling of unhappiness and disappointment.
1035,evict,To force someone to leave somewhere.
1036,extramarital,Describes a married person's sexual relationship with someone who is not their husband or wife.
1037,flog,to hit someone very hard with a stick or whip as a punishment
1038,grime,A layer of dirt on skin or on a building.
1039,hamper,To prevent someone doing something easily.
1040,hoard,"To collect large amounts of something and keep it in a safe, often secret, place."
1041,inanimate,Having none of the characteristics of life that an animal or plant has.
1042,outright,Completely or immediately.
1043,podium,a small raised area where someone stands to give a speech or conduct an orchestra
1044,recluse,A person who lives alone and avoids going outside or talking to other people.
1045,ridicule,Unkind words or actions that make someone or something look stupid.
1046,rift,a disagreement between two people or groups
1047,ruffle,to move something so that it is no longer smooth or even
1048,saliva,the liquid produced by glands in your mouth
1049,sheen,"A bright, smooth surface."
1050,shutter,a cover that can be closed over the outside of a window
1051,sideline,An activity that you do as well as your main job.
1052,sortie,"A short, quick attack by a military force, such as a small group of soldiers or an aircraft, made against an enemy position."
1053,turmoil,"A state of confusion, uncertainty, or disorder."
1054,unravel,to understand something complicated by thinking about it for a long time
1055,wad,A number of especially flat and/or small objects pressed tightly together.
1056,condolence,the things that you say to show sympathy when someone has just died
1057,pejorative,Disapproving or suggesting that something is not good or is of no importance.
1058,on short notice,quickly and without a timely notification of other people; with very little lead time
1059,archipelago,a large group of small islands
1060,build-up,"An increase, especially one that is gradual."
1061,impunity,Freedom from punishment or from the unpleasant results of something that has been done.
1062,rampant,(of something bad) getting worse quickly and in an uncontrolled way.
1063,tentative,"not definite, or not certain"
1064,woe,a strong feeling of sadness; Great problems or troubles.
1065,avid,Extremely eager or interested.
1066,carpenter,A person whose job is making and repairing wooden objects and structures.
1067,clamber,"To climb up, across, or into somewhere with difficulty, using the hands and the feet."
1068,compulsion,A very strong feeling of wanting to do something repeatedly that is difficult to control.
1069,escapism,"A way of avoiding an unpleasant or boring life, especially by thinking, reading, etc. about more exciting but impossible activities."
1070,fuss,a lot of unnecessary worry or excitement about something
1071,inhospitable,Not welcoming or generous to people who visit you.
1072,inquisitive,"Wanting to discover as much as you can about things, sometimes in a way that annoys people."
1073,notorious,Famous for something bad.
1074,southerly,Towards or in the south.
1075,tip-off,A secret warning or piece of secret information.
1076,up-to-the-minute,containing all the most recent news and information
1077,wick,"A piece of string in the centre of a candle, or a similar part of a light, that supplies fuel to a flame."
1078,gobbledegook,language that is meaningless or is made unintelligible by excessive use of technical terms.
1079,junket,a journey or meeting that people say is for business but is really for pleasure
1080,lunge,"To move forward suddenly and with force, especially in order to attack someone."
1081,outpatient,"A person who goes to a hospital for treatment, but who does not stay any nights there."
1082,predicament,An unpleasant situation that is difficult to get out of.
1083,tow,to pull a vehicle or boat by fixing it to the back of another vehicle or boat
1084,upbeat,"Full of hope, happiness, and good feelings."
1085,apathy,"Behaviour that shows no interest or energy and shows that someone is unwilling to take action, especially over something important."
1086,ascent,The act of climbing or moving upwards.
1087,booth,A small space like a box that a person can go into.
1088,lodge,To make an official complaint about something.
1089,rattle,A sound similar to a series of quickly repeated knocks.
1090,tight-lipped,"refusing to comment on something, especially to journalists"
1091,softwood,"Wood from fast-growing evergreen trees (= ones that never lose their leaves) like pine, or a tree of this type."
1092,backbone,The line of bones down the centre of the back that provides support for the body.
1093,caustic,"Describes a chemical that burns or destroys things, especially anything made of living cells."
1094,cleave,"To separate or divide, or cause something to separate or divide, often violently."
1095,in-vitro,"Happening outside the body in artificial conditions, often in a test tube."
1096,poplar,A tall tree with branches that form a thin pointed shape.
1097,pulp,"A soft, wet mass."
1098,soda,Any type of sweet fizzy drink (= with bubbles) that is not alcoholic.
1099,ballot,A system or occasion of secret voting.
1100,atone,to show that you are sorry for doing something bad or wrong
1101,awhile,For a short time.
1102,cleat,"a metal object that you tie a rope round in order to fasten something in place, especially on a ship"
1103,delude,To make someone believe something that is not true.
1104,fealty,loyalty that someone promised to a king or queen in the past
1105,keel,a long thin piece of wood or metal along the bottom of a boat that helps it to balance in the water
1106,lash,"to tie something firmly to something else, or to tie two things together firmly using a rope"
1107,oar,"A long pole with a wide, flat part at one end, used for rowing a boat."
1108,plead,"To make an urgent, emotional statement or request for something."
1109,riches,A large amount of money or valuable possessions.
1110,strut,To walk in a proud way trying to look important.
1111,thigh,The part of a person's leg above the knee.
1112,unanimous,"a ____ decision, vote, agreement etc is one that everyone agrees with and supports"
1113,voyage,"A long journey, especially by ship."
1114,alms,"Clothing, food, or money that is given to poor people."
1115,arse,The part of your body that you sit on.
1116,banish,"To send someone away, especially from their country, and not allow them to come back."
1117,bedchamber,an old word meaning 'bedroom'
